tweet,label
rt coronavirus update india fight corona india conduct record high NUM lakh test co vid single…,real
graphic video view ten thousand time multiple post facebook twitter alongside claim show two islamist extremist kill hindu man indian state rajasthan india ’ covid NUM lockdown,fake
“ co vid outbreak break china immediately start build laboratory capacity within NUM month activate total NUM lab across country least one per geo political zone bring test close people,real
chris hadfield really milk “ space ” thing self isolation social distancing coronavirus,fake
new local restriction introduce northeast england include curfew bar pubs ban people mix others outside household,real
image doctor smoke treat covid patient gujarat india,fake
new recover case report continue NUM active case manage isolation facility none people receive hospital level care number confirm case remain NUM,real
low talker less likely spread coronavirus evidence suggests,real
new ’ trust social medium post compare daily coronavirus death disease rat pant fire,fake
total number confirm case NUM number report world health organization ​ yesterday laboratory complete NUM test bring total number test complete date NUM,real
food discard sao paulo governor decree,fake
andhra pradesh chief minister y jagan reddy claim paracetamol medication coronavirus,fake
rt corona watch black medium small square NUM total confirm case black medium small square NUM case cure recovered black medium small square NUM sample test the…,real
part effort reduce risk co vid infection among health worker ncdc collaboration continue conduct lpc training across nigeria ongoing training katsina state critical reducing risk co vid transmission nationwide,real
five state watch closely,real
break news day update website abruptly delete information aerosol main covid NUM mode transmission,real
coronavirus stick faster men shave head,fake
swiss government document confirm pcr test use detect novel coronavirus,fake
“ patient test positive ” NUM novel coronavirus ncov makati medical center,fake
american scientist develop cure coronavirus,fake
“ absence vaccine syringe non pharmaceutical intervention use face mask face medical mask physical distancing amp hand hygiene soap remain effective strategy limit co vid spread ” bos mustapha chairman television livestream ongoing press brief backhand index point medium skin tone,real
coronavirus rhondda cynon taff go local lockdown amid rise case,real
co vid coronavirus coronavirus update time repentance prayer get result deed co vid stay home coronavirus stay safe new york tough co vid usa trump,fake
year deworming campaign implement door door deworming amp frontline health worker observe co vid safety guideline visit house administer albendazole ensure get child dewormed health,real
rt use bleach solution disinfect product food currently case co vid identifie…,real
NUM positive day usually state reporting negative cadence positive see lot state recently,real
rt co vid update backhand index point right total number active case country stand NUM date backhand index point right five state ma…,real
six state saw rise NUM fl ca tx az ga tn number currently hospitalize covid NUM patient six set new record highs state,real
hop everyone ’ full recovery NUM people link cluster move manage quarantine facility auckland include NUM people return positive test well household contact,real
ftse NUM pound come renew pressure investor eye prospect tough coronavirus restriction return across uk much europe,real
NUM state post record highs new case since sunday NUM u state,real
cdc infect mother NUM x likely hospitalize coronavirus almost NUM x likely require mechanical ventilation,real
kid reach ‘ f k shit ’ stage lockdown,fake
doctor recommend vitamin c fennel seed tea help avoid novel coronavirus,fake
fact check full form co vid NUM name disease name �,fake
coronavirus make mississippi lady catch around nobody mean airborne mean wind blows direction also �,fake
state report NUM new death trend slightly reminder chart include NUM k probable confirm covid NUM death report new york city yet new york state,real
rt nearly NUM lakh NUM test conduct single day high test day far secretary at…,real
covid NUM update today update lengthy divide two separate thread one new case manage isolation case woman NUM arrive philippine NUM th august,real
daily update publish state report NUM k test NUM k case mark first time since july NUM state report few NUM k test NUM covid NUM death report,real
news eu threaten expel uk unless parliament reopen,fake
coronavirus expert warn many NUM trump supporter tulsa campaign rally could catc� donald trump,fake
state report NUM new death high daily death toll record far,real
severity covid NUM case surabaya indonesia cause global elite conspiracy,fake
israeli scientist develop covid NUM vaccine,fake
substance chlorine dioxide powerful bleach use textile manufacture grenons market “ miracle mineral solution ” mm say drunk dilution cure almost illnesses include covid cancer hiv aid well condition autism,fake
coronavirus NUM pm curfew pub restaurant measure could johnson announce later,real
caregiver older adult people severe chronic health condition may high risk serious co vid illness watch symptom fever cough shortness breath emergency warn sign find,real
’ forget middle global pandemic trump administration try gut obamacare rip health insurance away million morally reprehensible,fake
sign newsletter lay late high quality news study stay date covid,real
although new case continue grow test provider overwhelm turnaround time lengthen supply chain stress place like arizona may mean ’ see rapid increase case test scale outbreak,real
six new case co vid report nigeria NUM kwara NUM edo NUM river NUM fct NUM NUM pm NUM th april NUM confirm case co vid report nigeria thirty five discharge five death,real
decision president governor open state,fake
indian nurse resign due covid NUM infect jamati patient misbehavior,fake
rt bank employer worker could expose virus cause co vid job new information from…,real
NUM people link community cluster move auckland quarantine facility include NUM people positive test,real
virgin australia set change name fuck coronavirus,fake
india ’ official coronavirus confirm case tally hit two million hand serum institute india tie gate foundation gavi NUM million covid NUM vaccine dose india low middle income country co vid coronavirus update,fake
bill gate tried get patent n NUM mask,fake
NUM pm update publish u complete test least NUM people NUM yesterday total note track test state report state report negative test detail see,real
photo show uganda first case covid NUM,fake
NUM new case co vid nigeria lagos NUM oyo NUM fct NUM edo NUM osun NUM ogun NUM river NUM kaduna NUM akwa ibom NUM plateau NUM delta NUM ebonyi NUM imo NUM enugu NUM kano NUM cross river NUM katsina NUM nasarawa NUM borno NUM ekiti NUM bauchi NUM NUM confirm NUM discharge NUM death,real
south whole report NUM new death today new high region,real
coronavirus late time turn,fake
solidarity trial also underway many country project complete control co vid effectively easier due availability proper medicine vaccine etc control various infectious disease across world,real
covid NUM update new case covid NUM report new zealand today NUM day since last case covid NUM acquire locally unknown source,real
good news wuhan corona virus cure one bowl freshly boil garlic water,fake
test positive co vid symptom stay home away people learn cdc ’ recommendation around others covid NUM infection,real
update data user continue implement change original totaltestresults api field result NUM k cumulative test increase since march update test total NUM state ak al ar ca dc ga id ky mn nh sd va wa,real
’ move new phase many u head back work school first time stay healthy stay safe new zealand,real
NUM people link community cluster remain auckland quarantine facility include NUM people test positive covid NUM,real
’ mean though system clearly capacity even machine technically ’ like tank fuel supply line necessary good winning war,real
ghana electoral commission postpone NUM election NUM due coronavirus,fake
thick global outbreak london base news medium organisation break story claim pakistani prime minister infect novel virus,fake
facebook user claim melinda gate divorce husband bill gate want destroy africa,fake
one last data note reporting california ’ pending number publish irregularly quite large— NUM –and worth consider look data,real
NUM k newly discover case huge number report test positive rate one low see NUM,real
donald trump announce roche launch vaccine coronavirus next sunday,fake
india fight corona india record NUM recovery two day row total recovery cross NUM lakh recover case exceed active case NUM lakh stay safe india win,real
even co vid NUM young child die every day mostly preventable cause share equal right survive quality health care health backhand index point right,real
NUM covid NUM case report ernakulam hour declare green zone kerala government,fake
ema endorses use dexamethasone covid NUM,real
covid NUM patient zero sex bat,fake
female covid patient may produce antibody virus male patient accord peer review study journal medical virology study potentially explain female generally less severe symptom co vid study,real
muslim tamil nadu india flout lockdown rule offer namaz prayer night,fake
finally selection chart available,real
news coronavirus nh advise wash hand like pick mark francois ’ dirty front,fake
